neighbourhood_id,neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,total_venues,total_population,unemployment_rate,crime_rate,median_rent,label1,label2
129,Agincourt North,43.80544053403305,-79.26671238386149,12,29113,9.8,75.44,1750,Medium,Least Desirable
128,Agincourt South-Malvern West,43.7886573503734,-79.2656114435185,12,23757,9.8,157.91,1750,High,Least Desirable
20,Alderwood,43.60493715091068,-79.54161057653289,5,12054,6.1,159.52,1750,Medium,Desirable
95,Annex,43.671585252613646,-79.40400005281678,9,30526,6.7,279.01,949,Medium,Least Desirable
42,Banbury-Don Mills,43.737659107558216,-79.34972050464525,9,27695,7.2,88.62,949,Medium,Most Desirable
34,Bathurst Manor,43.76481420179362,-79.4560566326242,2,15873,7.2,126.12,1825,Low,Desirable
49,Bayview Woods-Steeles,43.796802160132,-79.38211780137767,1,13154,8.0,113.98,2087,Low,Semi Desirable
39,Bedford Park-Nortown,43.73148780254149,-79.42022612325479,4,23236,5.5,128.67,1650,Medium,Desirable
112,Beechborough-Greenbrook,43.69321629349849,-79.4794721995664,1,6577,11.4,239.31,1650,Low,Least Desirable
122,Birchcliffe-Cliffside,43.694683351441576,-79.26508925886662,0,22291,8.8,173.74,1593,Low,Least Desirable
24,Black Creek,43.76489042938726,-79.52197950468847,0,21737,12.7,249.59,1650,Low,Least Desirable
69,Blake-Jones,43.676172960341965,-79.33739413147676,3,7727,8.5,181.05,1650,Low,Desirable
108,Briar Hill-Belgravia,43.69902429499015,-79.4528696070274,4,14257,8.7,202.28,1775,Low,Desirable
41,Bridle Path-Sunnybrook-York Mills,43.73101266063294,-79.37890252696454,2,9266,8.0,175.81,1775,Low,Desirable
57,Broadview North,43.68882539700119,-79.35562930293595,2,11499,8.2,114.09,1750,Low,Desirable
30,Brookhaven-Amesbury,43.701326083160986,-79.48558862009045,1,17757,10.0,178.35,1600,Low,Least Desirable
109,Caledonia-Fairbank,43.68856846711272,-79.45521267789519,3,9955,7.2,144.55,1850,Low,Desirable
96,Casa Loma,43.68185225786885,-79.40800655491213,4,10968,6.6,150.79,1923,Low,Semi Desirable
133,Centennial Scarborough,43.78237705668571,-79.15084346589744,1,13362,7.6,119.94,1799,Low,Desirable
120,Clairlea-Birchmount,43.71359211783352,-79.28138213103038,3,26984,8.7,207.91,1695,Low,Least Desirable
33,Clanton Park,43.741975896897614,-79.44637134126691,1,16472,6.1,197.62,1787,Low,Desirable
123,Cliffcrest,43.721121716111774,-79.23553062083673,6,15935,9.7,172.59,1399,Medium,Least Desirable
92,Corso Italia-Davenport,43.67766288697114,-79.44749614287657,9,14133,7.2,218.87,2100,Medium,Semi Desirable
66,Danforth,43.68402520785754,-79.32981877904594,9,9666,6.2,388.12,1600,Medium,Least Desirable
59,Danforth East York,43.689467853790646,-79.33140285680877,3,17180,6.9,127.73,1600,Low,Desirable
47,Don Valley Village,43.78329394130451,-79.35364420467583,3,27051,9.6,134.69,1900,Low,Least Desirable
126,Dorset Park,43.75927558617118,-79.27890860962498,2,25003,9.7,156.94,1750,Low,Least Desirable
83,Dufferin Grove,43.655428247845336,-79.43734064238414,12,11785,7.5,180.3,1800,Medium,Desirable
62,East End-Danforth,43.68417396924507,-79.29935845328056,9,21381,8.2,224.02,1640,Medium,Desirable
9,Edenbridge-Humber Valley,43.67088663598491,-79.52245768184905,0,15535,6.1,98.77,1835,Low,Desirable
138,Eglinton East,43.74092221696979,-79.24559732255192,4,22776,10.8,154.65,1664,Low,Least Desirable
5,Elms-Old Rexdale,43.72151985801012,-79.54898255239225,1,9456,10.0,227.45,1664,Low,Least Desirable
32,Englemount-Lawrence,43.72034545348048,-79.43740891281458,2,22372,8.9,111.93,1640,Low,Least Desirable
11,Eringate-Centennial-West Deane,43.658017268337495,-79.58044337727729,7,18588,7.4,115.07,1118,Medium,Most Desirable
13,Etobicoke West Mall,43.64506342351047,-79.56893867490753,5,11848,7.9,122.72,1118,Medium,Most Desirable
44,Flemingdon Park,43.71592977254488,-79.33264601363966,12,21933,10.6,116.03,1795,High,Least Desirable
102,Forest Hill North,43.70420881640305,-79.42816199133759,11,12806,7.4,135.76,1775,Medium,Desirable
101,Forest Hill South,43.69452589338795,-79.41431810957558,0,10732,5.6,185.82,1775,Low,Desirable
25,Glenfield-Jane Heights,43.74563487291772,-79.5134633306214,1,30491,11.5,225.57,1850,Low,Least Desirable
65,Greenwood-Coxwell,43.672612784475824,-79.32431830147567,20,14417,7.2,193.98,1640,High,Desirable
140,Guildwood,43.74883332596698,-79.19504301295854,6,9917,7.9,146.84,1640,Low,Desirable
53,Henry Farm,43.77114332679131,-79.34123756047136,0,15723,10.3,162.36,1850,Low,Least Desirable
88,High Park North,43.6575647751175,-79.46630203155983,0,22162,7.1,136.69,1813,Low,Desirable
87,High Park-Swansea,43.64506418289115,-79.46787090160181,5,23925,6.0,94.71,1813,Low,Desirable
134,Highland Creek,43.7907747285665,-79.17747201768059,1,12494,8.5,102.33,1813,Low,Desirable
48,Hillcrest Village,43.802988027997806,-79.35480343956932,2,16934,8.3,133.33,1813,Low,Desirable
8,Humber Heights-Westmount,43.69223309746843,-79.52241676396075,2,10948,7.4,113.95,1200,Low,Most Desirable
21,Humber Summit,43.75891945120862,-79.55617376124543,1,12416,9.6,440.38,955,Low,Least Desirable
22,Humbermede,43.74342958197367,-79.54236723906082,0,15545,10.2,214.18,1633,Low,Least Desirable
106,Humewood-Cedarvale,43.69137015899954,-79.42768369255306,5,14365,7.1,146.16,1649,Low,Desirable
125,Ionview,43.73536469778182,-79.27247039865925,6,13641,8.8,191.37,1649,Low,Desirable
90,Junction Area,43.66788835223682,-79.47144092957652,13,14366,5.6,244.6,1687,Medium,Desirable
110,Keelesdale-Eglinton West,43.68572749741623,-79.47143790127517,9,11058,8.6,172.81,1725,Medium,Desirable
124,Kennedy Park,43.72555596042475,-79.26038158107336,2,17123,9.1,234.41,1725,Low,Least Desirable
78,Kensington-Chinatown,43.653554205636986,-79.39723977605635,7,17945,8.2,388.59,2200,Low,Least Desirable
6,Kingsview Village-The Westway,43.69899288704678,-79.54786299647245,4,22000,9.9,169.41,1154,Low,Least Desirable
114,Lambton Baby Point,43.6574189248585,-79.49604430315533,1,7985,7.6,136.76,1950,Low,Semi Desirable
38,Lansing-Westgate,43.754271751416006,-79.42474723262933,2,16164,7.2,179.18,1850,Low,Desirable
105,Lawrence Park North,43.73006010254228,-79.40397817921858,7,14607,6.4,145.62,1850,Medium,Desirable
103,Lawrence Park South,43.717211882828735,-79.40603838588012,1,15179,7.5,155.15,1850,Low,Desirable
56,Leaside-Bennington,43.7037980612016,-79.36607188275853,10,16828,6.9,167.8,1685,Medium,Desirable
84,Little Portugal,43.64753597781359,-79.43032290794017,6,15559,6.4,155.02,2075,Medium,Semi Desirable
19,Long Branch,43.59236201758413,-79.53334453840911,9,10084,7.1,213.0,1869,Medium,Desirable
29,Maple Leaf,43.71557409042746,-79.4807579099764,2,10111,8.1,103.72,1612,Low,Desirable
12,Markland Wood,43.63354192189846,-79.57343161051442,4,10554,6.2,152.25,1612,Low,Desirable
135,Morningside,43.78239927012414,-79.20704117569281,8,17455,11.4,120.58,1884,Medium,Least Desirable
73,Moss Park,43.656528198266734,-79.36745429532743,17,20506,6.9,546.05,2100,High,Least Desirable
115,Mount Dennis,43.68814401936322,-79.49998942865554,6,13593,10.8,158.89,1498,Low,Least Desirable
2,Mount Olive-Silverstone-Jamestown,43.74686885476878,-79.58725978934226,3,32954,12.1,176.63,1498,Low,Least Desirable
99,Mount Pleasant East,43.7048279252153,-79.3849351487881,5,16775,6.9,139.63,1498,Medium,Desirable
18,New Toronto,43.60058175998885,-79.51036108252607,7,11463,8.7,220.66,1680,Low,Desirable
68,North Riverdale,43.67199525136865,-79.35126050861962,4,11916,5.3,180.99,2300,Low,Semi Desirable
54,O'Connor-Parkview,43.706800338512274,-79.31222779566357,11,18675,10.1,177.37,1595,Medium,Least Desirable
121,Oakridge,43.69740762493865,-79.27970933587005,7,13845,14.6,297.73,1662,Medium,Least Desirable
107,Oakwood Village,43.68856586107702,-79.43978576386304,4,21210,6.8,152.52,1595,Low,Desirable
58,Old East York,43.69678107151814,-79.3354879758206,1,9233,5.0,167.19,1595,Low,Desirable
80,Palmerston-Little Italy,43.65915707847104,-79.41840864397973,4,13826,6.8,139.94,2200,Low,Semi Desirable
23,Pelmo Park-Humberlea,43.71751501748518,-79.52828349016524,0,10722,6.0,191.96,1736,Low,Desirable
67,Playter Estates-Danforth,43.67970041502498,-79.35488713135474,8,7804,6.4,279.54,1849,Medium,Desirable
46,Pleasant View,43.78698254383544,-79.33494903519887,8,15818,10.0,137.81,1547,Medium,Least Desirable
10,Princess-Rosethorn,43.666051041394624,-79.54456014999863,1,11051,6.0,113.33,1547,Low,Desirable
72,Regent Park,43.65999217326658,-79.36050880264123,4,10803,9.6,248.6,1950,Medium,Least Desirable
4,Rexdale-Kipling,43.72372601707348,-79.56622905418295,1,10529,10.9,242.35,1950,Low,Least Desirable
111,Rockcliffe-Smythe,43.67479051255996,-79.49441904749392,10,22246,9.2,154.91,2000,Medium,Least Desirable
86,Roncesvalles,43.64612316976015,-79.44299291538255,10,14974,6.7,221.01,2000,Medium,Semi Desirable
98,Rosedale-Moore Park,43.68280633743324,-79.37964952360544,2,20923,6.0,182.19,2200,Low,Semi Desirable
89,Runnymede-Bloor West Village,43.65926858329211,-79.48570957524058,11,10070,5.1,153.14,1000,Medium,Most Desirable
28,Rustic,43.71160931171664,-79.49809150938447,0,9941,9.1,156.16,1000,Low,Most Desirable
139,Scarborough Village,43.73865069431098,-79.21681281001817,3,16724,13.0,197.54,1705,Low,Least Desirable
85,South Parkdale,43.63669876277896,-79.43933807195889,7,21849,8.6,245.3,1833,Medium,Least Desirable
70,South Riverdale,43.649202804041735,-79.3356174019871,0,27876,6.5,240.99,1833,Low,Desirable
116,Steeles,43.81295893958245,-79.32120707374366,0,24623,9.5,77.92,1833,Low,Least Desirable
16,Stonegate-Queensway,43.63551836396957,-79.50112846656178,1,25051,6.7,132.91,2100,Low,Semi Desirable
118,Tam O'Shanter-Sullivan,43.7801308384035,-79.30291653218056,9,27446,9.1,126.98,1795,Medium,Least Desirable
61,Taylor-Massey,43.69499829487554,-79.29590119250837,1,15683,11.5,195.64,1795,Low,Least Desirable
63,The Beaches,43.671050012825816,-79.29959971728859,7,21567,5.7,162.8,1695,Medium,Desirable
3,Thistletown-Beaumond Heights,43.737987851535216,-79.56349146381808,12,10360,10.4,209.43,2000,High,Least Desirable
55,Thorncliffe Park,43.70774957054921,-79.34998381736735,10,21108,12.6,153.28,1575,Medium,Least Desirable
81,Trinity-Bellwoods,43.65017632809552,-79.41534210157636,5,16556,6.1,192.94,2475,Low,Semi Desirable
79,University,43.66250626097077,-79.40117976093303,6,7607,8.3,347.75,2475,Medium,Least Desirable
43,Victoria Village,43.72848964748713,-79.31487429587409,2,17510,10.1,181.78,1650,Low,Least Desirable
136,West Hill,43.767489939216,-79.1766759677255,0,27392,11.6,315.55,800,Low,Least Desirable
1,West Humber-Clairville,43.71618631268755,-79.59636344088473,7,33312,9.6,437.18,800,Medium,Least Desirable
35,Westminster-Branson,43.77881390482834,-79.4524188218363,1,26274,9.2,125.76,1550,Low,Least Desirable
113,Weston,43.70271599267188,-79.51572294135946,8,17992,10.6,251.29,1750,Medium,Least Desirable
119,Wexford/Maryvale,43.74857435786498,-79.29863817553075,5,27917,9.0,235.82,1660,Medium,Least Desirable
37,Willowdale West,43.77121040437565,-79.42755746122059,2,16936,9.8,199.18,2000,Low,Least Desirable
7,Willowridge-Martingrove-Richview,43.68364451191098,-79.55422035932177,0,22156,8.5,104.46,1395,Low,Least Desirable
64,Woodbine Corridor,43.67677324139002,-79.31540751321238,2,12541,7.7,203.6,1655,Low,Desirable
60,Woodbine-Lumsden,43.694107034772216,-79.31116379826273,9,7865,6.6,198.92,1550,Low,Desirable
94,Wychwood,43.67691929241405,-79.42551486266828,1,14349,5.2,110.6,1550,Low,Desirable
100,Yonge-Eglinton,43.70468998997174,-79.40359060138711,3,11817,6.9,190.35,1550,Low,Desirable
97,Yonge-St.Clair,43.68785990511218,-79.39787129581944,5,12528,5.9,150.86,1550,Medium,Desirable
27,York University Heights,43.76573784978765,-79.48888248515169,9,27593,10.7,375.9,1529,Medium,Least Desirable
31,Yorkdale-Glen Park,43.71467213658504,-79.45710819745938,5,14804,8.0,334.94,1529,Medium,Least Desirable
